,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,5,10,9,5,5,3,5,0,6,0,7,10,1,3,0,2841051.9172279844,105992322.08692294,694800000.0
1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,9,10,0,2,10,9,1,4,5,0,6,5,7,6,7,311724338.9923343,107799106.19932112,502300000.0
2,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,4,9,8,4,3,3,1,7,3,5,3,8,8,2,10,3,0.0,154717580.25046742,554000000.0
3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4,10,2,1,0,9,4,3,9,3,10,4,5,8,10,3514473.227926618,151464645.13725752,448400000.0
4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,6,0,10,1,6,10,1,9,10,2,0,8,9,1,4,305985114.89406013,148728505.94907087,199900000.0
5,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,6,1,6,6,8,0,2,1,0,4,0,7,4,5,6,11473502.612524057,69886485.8685135,552300000.0
6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,7,2,10,10,3,5,1,3,1,3,8,6,5,0,17102120.446069222,115903294.85137159,333100000.0
7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,4,3,1,10,8,9,6,8,2,4,9,4,9,5,8,8424002.388897527,157949349.86880887,339000000.0
8,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,9,9,8,7,4,4,3,7,2,3,8,4,10,6,9,3055832.4563055225,133370487.80367388,638600000.0
9,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,4,8,3,1,9,4,1,0,2,10,1,8,6,0,6,555840141.206227,95765989.78949651,417700000.0
10,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,9,0,8,9,5,4,0,3,6,2,9,4,0,0.0,92327704.12127946,777700000.0
